player origin
0 1 2
objective origin
39 0 4
ground voxels
1 0 0
0 0 1
1 0 1
0 0 2
1 0 2
2 0 2
2 0 1
1 0 -1
2 0 0
2 0 -1
0 0 -2
3 0 -2
1 0 -2
2 0 -2
1 0 -3
2 0 -3
0 0 -3
1 0 -4
0 0 -4
2 0 -4
3 0 -3
3 0 -4
3 0 -1
4 0 -1
4 0 -2
4 0 -3
4 0 -4
4 0 -5
3 0 -5
2 0 -5
1 0 -5
0 0 -5
3 0 0
4 0 1
3 0 1
3 0 2
4 0 2
4 0 0
3 0 3
4 0 3
4 0 4
3 0 4
2 0 3
2 0 4
1 0 3
1 0 4
0 0 3
0 0 4
0 0 0
0 0 -1
5 0 2
6 0 2
7 0 2
8 0 2
9 0 2
10 0 2
11 0 2
12 0 2
13 0 2
14 0 2
15 0 2
16 0 2
17 0 2
18 0 2
19 0 2
20 0 2
21 0 2
22 0 2
23 0 2
24 0 2
25 0 2
26 0 2
27 0 2
28 0 2
29 0 2
30 0 2
31 0 2
32 0 2
33 0 2
34 0 2
35 0 2
36 0 2
37 0 2
38 0 2
39 0 2
5 0 -3
6 0 -3
7 0 -3
8 0 -3
9 0 -3
10 0 -3
11 0 -3
12 0 -3
13 0 -3
14 0 -3
15 0 -3
16 0 -3
17 0 -3
18 0 -3
19 0 -3
21 0 -3
27 0 -3
28 0 -3
29 0 -3
30 0 -3
31 0 -3
35 0 -3
37 0 -3
20 0 -3
22 0 -3
23 0 -3
24 0 -3
25 0 -3
26 0 -3
32 0 -3
33 0 -3
34 0 -3
36 0 -3
38 0 -3
39 0 -3
39 0 -2
39 0 -1
39 0 0
39 0 1
40 0 2
40 0 -3
40 0 -2
40 0 -1
40 0 0
40 0 1
41 0 1
41 0 2
39 0 3
38 0 -2
38 0 -1
38 0 0
38 0 1
39 1 -1
41 0 -3
41 0 -2
41 0 -1
41 0 0
39 0 6
39 0 7
39 0 8
39 -1 4
39 -1 5
39 -1 3
39 -1 2
39 -1 1
39 -1 0
39 -1 -1
39 -1 -2
39 -1 -3
40 1 2
39 0 5
39 -1 -5
box voxels
