player origin
1 -2 2
objective origin
9 -14 0
ground voxels
2 -3 2
2 -3 -3
3 -3 -3
4 -3 -3
5 -3 -3
6 -3 -3
8 -8 1
9 -8 2
8 -9 -3
9 -15 0
9 -15 -1
9 -15 -2
9 -10 -3
9 -11 -2
8 -12 -2
8 -13 -3
9 -14 -3
9 -14 -2
9 -8 1
10 -13 -2
8 -8 -2
9 -15 1
9 -14 1
9 -13 1
9 -11 1
9 -12 1
9 -10 1
9 -9 1
10 -12 -2
2 -3 3
2 -3 -4
1 -3 2
1 -3 3
7 -8 -3
7 -7 -3
7 -6 -3
7 -5 -3
7 -4 -3
7 -3 -3
10 -14 -2
3 -4 2
4 -5 2
5 -7 1
4 -6 1
6 -8 1
1 -3 -3
1 -3 -4
2 -3 -2
1 -3 -2
1 -3 1
2 -3 1
8 -8 2
9 -7 2
7 -8 2
6 -8 2
6 -7 1
5 -6 1
4 -5 1
4 -4 2
3 -3 2
7 -8 1
box voxels
